product_name,brand,category,subcategory,size,mrp,discount_pct,selling_price,price_per_unit,stock,rating,review_count,demand_signal,mrp_outlier_flag,discount_gap,stock_pct_rank,stock_flag,ppu_rank,sku_count
Babyhug Pro Bubble Care Premium Pant Style Diaper Medium (M) Size - 54 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Medium,1449.0,53.0,677.7,12.55,17171,4.27,3330,4.27,False,24.09957627118644,0.9491525423728814,healthy,0.4639830508474576,46
"Babyhug Advanced Pant Style Diapers Extra Large (XL) Size  Monthly Box Pack - 112 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Extra Large,2579.0,55.0,1163.64,10.39,7902,4.1,17639,4.1,True,26.09957627118644,0.8983050847457628,healthy,0.2976694915254237,46
"Babyhug Advanced Pant Style Diapers Large (L) Size Monthly Box Pack - 128 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Large,2579.0,47.0,1355.52,10.59,46584,4.1,17639,4.1,True,18.09957627118644,0.9851694915254238,healthy,0.3114406779661017,46
Pampers Premium Care Pants XL 72 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Extra Large,2849.0,36.0,1819.37,25.27,887,4.48,5637,4.48,True,7.099576271186439,0.659957627118644,healthy,0.8538135593220338,85
Pampers Premium Care Pants L 88 | No Marks Design | India's Softest Diaper,Pampers,Diapering,Baby Diapers,Large,2849.0,39.0,1739.31,19.76,1321,4.48,5637,4.48,True,10.09957627118644,0.739406779661017,healthy,0.7436440677966102,85
"Babyhug Advanced Pant Style Diapers Medium (M) Size Monthly Box Pack - 152 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Medium,2798.0,53.0,1327.09,8.73,47096,4.1,17639,4.1,True,24.09957627118644,0.9872881355932204,healthy,0.1483050847457627,46
Babyhug Pro Bubble Care Premium Pant Style Diaper Large (L) Size - 44 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Large,1449.0,44.0,813.61,18.49,73638,4.27,3330,4.27,False,15.09957627118644,0.9957627118644068,healthy,0.7002118644067796,46
"Babyhug Advanced Pant Style Diapers XXL - 42 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,XXL,1399.0,61.0,545.61,12.99,85299,4.1,17639,4.1,False,32.099576271186436,0.9978813559322034,healthy,0.4894067796610169,46
"MamyPoko Pants Extra Absorb Baby Diapers, Extra Large (XL size) | 12-17 kg | 104 Count |Deep Sleep Diapers| Soft gentle fit |Deep Absorbent Crisscross | skin friendly with coconut oil |",MamyPoko,Diapering,Baby Diapers,Extra Large,2437.0,40.0,1458.3,14.02,739,4.41,1381,4.41,True,11.09957627118644,0.6419491525423728,healthy,0.551906779661017,65
"Babyhug Advanced Pant Style Diaper Monthly Box Pack Small (S) Size - 168 Pieces, Honeycomb Technology, Cottony Soft Diaper with 3D Leak Guard, Latex & Alcohol Free, Anti-rash & Gentle",Babyhug,Diapering,Baby Diapers,Small,2579.0,52.0,1241.53,7.39,13998,4.1,17639,4.1,True,23.09957627118644,0.9364406779661016,healthy,0.05614406779661017,46
Babyhug Pro Bubble Care Premium Pant Style Diaper Small (S) Size - 70 Pieces - New & Improved Superior Fit,Babyhug,Diapering,Baby Diapers,Small,1310.0,40.0,789.54,11.28,15534,4.27,3330,4.27,False,11.09957627118644,0.940677966101695,healthy,0.3644067796610169,46
